,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho,sp
0,-91,-77,1,14,0,0,0,0.0,1.8235294117647058,0
1,-91,-77,3,1206,0,0,0,0.0,7.449197860962567,0
2,-91,-77,5,4774,0,0,0,0.0,8.969949916527545,0
3,-91,-77,10,32303,0,1,0,0.00034223134839151266,12.055099247091034,0
4,-91,-77,15,80111,0,24,0,0.0034782608695652175,12.610289855072464,0
5,-91,-77,20,141699,0,208,0,0.017122160026341784,12.66438919986829,0
6,-91,-77,25,202958,0,857,0,0.04958342976162925,12.742536449895857,0
7,-91,-77,30,257043,0,1765,0,0.0806783379805275,12.74946290624857,0
8,-91,-77,35,293514,0,2258,0,0.09449280214261802,13.282976230331435,0
9,-91,-77,40,322791,0,2658,0,0.10483139420232696,13.730861762965885,0
10,-91,-77,45,361080,0,3053,0,0.11183969521576673,14.227342662466114,0
11,-91,-77,50,404449,0,3444,0,0.11704333050127443,14.745080713678844,0
12,-91,-77,55,450466,0,3819,0,0.12014345487148835,15.1713908201466,0
13,-91,-77,60,496980,0,4197,0,0.1225008026619188,15.505706196550014,0
14,-91,-77,70,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
15,-91,-77,80,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
16,-91,-77,90,501026,0,4248,0,0.12264695692343226,15.465469453747547,0
0,-91,-77,1,7,0,0,0,0.0,1.7777777777777777,-21
1,-91,-77,3,1170,0,0,0,0.0,8.222222222222221,-21
2,-91,-77,5,4605,0,0,0,0.0,9.237924865831843,-21
3,-91,-77,10,31819,0,0,0,0.0,12.059784497740702,-21
4,-91,-77,15,79582,0,30,0,0.0044286979627989375,12.748154709182167,-21
5,-91,-77,20,140853,0,251,0,0.021352615908124203,12.982390472139516,-21
6,-91,-77,25,201510,0,709,0,0.042726286609617935,13.143545859949379,-21
7,-91,-77,30,252190,0,1377,0,0.06653138135961734,13.184857708846693,-21
8,-91,-77,35,273887,0,1510,0,0.06889943420332177,13.497125387844497,-21
9,-91,-77,40,276698,0,1548,0,0.06967637394787775,13.454336769140749,-21
