,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,15,0,0,0,0.0,2.1538461538461537
1,-61.0528,-62.167,5,4118,0,0,0,0.0,20.333333333333332
2,-61.0528,-62.167,10,29778,0,0,0,0.0,26.171597633136095
3,-61.0528,-62.167,15,82225,0,0,0,0.0,29.780189009450474
4,-61.0528,-62.167,20,153447,0,5,0,0.0009565716472163765,30.356609910082266
5,-61.0528,-62.167,25,224054,0,39,0,0.005066250974279034,30.105481943361912
6,-61.0528,-62.167,30,289421,0,153,0,0.014929742388758781,29.241705698672913
7,-61.0528,-62.167,35,328710,0,190,0,0.016941596076683014,30.309852875613018
8,-61.0528,-62.167,40,357608,0,247,0,0.020671185873294837,30.92786007197255
9,-61.0528,-62.167,45,396030,0,311,0,0.024221183800623054,31.843457943925234
10,-61.0528,-62.167,50,440556,0,400,0,0.028930999566035006,32.864313612035296
11,-61.0528,-62.167,55,488356,0,462,0,0.030981759656652362,33.74919527896996
12,-61.0528,-62.167,60,536908,0,524,0,0.03272954403497814,34.53579013116802
13,-61.0528,-77.7087,1,14,0,0,0,0.0,2.0
14,-61.0528,-77.7087,5,4114,0,0,0,0.0,19.95852534562212
15,-61.0528,-77.7087,10,29771,0,0,0,0.0,26.01764705882353
16,-61.0528,-77.7087,15,82231,0,0,0,0.0,29.842862153630307
17,-61.0528,-77.7087,20,153450,0,26,0,0.0049770290964777945,30.374042879019907
18,-61.0528,-77.7087,25,224147,0,139,0,0.018277449046679817,30.47363576594346
19,-61.0528,-77.7087,30,289706,0,375,0,0.037639265281541705,30.078189300411523
20,-61.0528,-77.7087,35,329072,0,506,0,0.04662305353358518,31.320832949414907
21,-61.0528,-77.7087,40,358037,0,634,0,0.05503472222222222,32.079600694444444
22,-61.0528,-77.7087,45,396518,0,755,0,0.06112370466321244,33.10152202072539
23,-61.0528,-77.7087,50,441094,0,895,0,0.06735400361228176,34.19491270319085
24,-61.0528,-77.7087,55,488981,0,1027,0,0.0718835304822566,35.22558969692728
25,-61.0528,-77.7087,60,537590,0,1159,0,0.07561325678496869,36.07241649269311
26,-61.0528,-93.2504,1,15,0,0,0,0.0,2.1538461538461537
27,-61.0528,-93.2504,5,4116,0,0,0,0.0,20.144186046511628
28,-61.0528,-93.2504,10,29782,0,0,0,0.0,26.26039016115352
29,-61.0528,-93.2504,15,82239,0,9,0,0.0031656700668308124,29.926837847344355
30,-61.0528,-93.2504,20,153589,0,134,0,0.026352015732546707,31.204326450344148
31,-61.0528,-93.2504,25,224483,0,434,0,0.05970559911954877,31.882239647819507
32,-61.0528,-93.2504,30,290238,0,861,0,0.09129466652528893,31.774891315873184
33,-61.0528,-93.2504,35,329733,0,1097,0,0.10763343799058085,33.352138932496075
34,-61.0528,-93.2504,40,358844,0,1346,0,0.12564174367590777,34.49612620181088
35,-61.0528,-93.2504,45,397484,0,1618,0,0.14210433866151415,35.90988933778324
36,-61.0528,-93.2504,50,442208,0,1881,0,0.15450961064563826,37.323969114506326
37,-61.0528,-93.2504,55,490218,0,2113,0,0.16191570881226053,38.564597701149424
38,-61.0528,-93.2504,60,538970,0,2365,0,0.1695583596214511,39.64138227702897
39,-61.0528,-108.7922,1,15,0,0,0,0.0,2.1538461538461537
40,-61.0528,-108.7922,5,4118,0,0,0,0.0,20.333333333333332
41,-61.0528,-108.7922,10,29803,0,26,0,0.022452504317789293,26.736614853195164
42,-61.0528,-108.7922,15,82360,0,137,0,0.05033063923585599,31.257163850110214
43,-61.0528,-108.7922,20,153915,0,442,0,0.09287665475940324,33.341878545913005
44,-61.0528,-108.7922,25,225115,0,968,0,0.14584902817538045,34.918185927376825
45,-61.0528,-108.7922,30,291106,0,1582,0,0.1847483358635992,34.99579586593484
46,-61.0528,-108.7922,35,330776,0,1935,0,0.21149852442889933,37.15433380697344
47,-61.0528,-108.7922,40,360017,0,2242,0,0.2350104821802935,38.73763102725367
48,-61.0528,-108.7922,45,398822,0,2590,0,0.2577627388535032,40.69167993630573
49,-61.0528,-108.7922,50,443697,0,2911,0,0.2724379971923257,42.52522227421619
50,-61.0528,-108.7922,55,491873,0,3251,0,0.2853005704256253,44.16568670469504
51,-61.0528,-108.7922,60,540777,0,3563,0,0.2934684128160778,45.54138868297505
52,-61.0528,-124.3339,1,20,0,3,0,0.375,3.5
53,-61.0528,-124.3339,5,4171,0,50,0,0.3125,27.06875
54,-61.0528,-124.3339,10,29955,0,171,0,0.16998011928429424,30.77634194831014
55,-61.0528,-124.3339,15,82634,0,379,0,0.1548202614379085,34.755718954248366
56,-61.0528,-124.3339,20,154323,0,781,0,0.17949896575499885,36.46839806940933
57,-61.0528,-124.3339,25,225579,0,1314,0,0.21286246557589503,37.54284788595496
58,-61.0528,-124.3339,30,291712,0,1910,0,0.24004021616187005,37.66105316073897
59,-61.0528,-124.3339,35,331448,0,2238,0,0.2640084935708387,40.09968149109355
60,-61.0528,-124.3339,40,360788,0,2541,0,0.2897707834416695,42.14357395370054
61,-61.0528,-124.3339,45,399678,0,2870,0,0.31222802436901653,44.481070496083554
62,-61.0528,-124.3339,50,444694,0,3242,0,0.3346407927332783,46.90152766308836
63,-61.0528,-124.3339,55,493009,0,3626,0,0.3534457549468759,49.05624329856711
64,-61.0528,-124.3339,60,542032,0,4023,0,0.3695572294690428,50.7916590115745
65,-76.316,-62.167,1,15,0,0,0,0.0,2.1538461538461537
66,-76.316,-62.167,5,4111,0,0,0,0.0,19.686363636363637
67,-76.316,-62.167,10,29787,0,0,0,0.0,26.37223168654174
68,-76.316,-62.167,15,82217,0,0,0,0.0,29.697033158813262
69,-76.316,-62.167,20,153492,0,35,0,0.006754148977228869,30.620223851794673
70,-76.316,-62.167,25,224130,0,165,0,0.021647861453686697,30.405667803726057
71,-76.316,-62.167,30,289654,0,415,0,0.04143784323514728,29.92201697453819
72,-76.316,-62.167,35,329031,0,548,0,0.05030291903800257,31.202955755461723
73,-76.316,-62.167,40,358020,0,685,0,0.059374187397070295,32.03233076189651
74,-76.316,-62.167,45,396517,0,821,0,0.06646158827815106,33.098842386464824
75,-76.316,-62.167,50,441100,0,970,0,0.07303117000451739,34.210359885559406
76,-76.316,-62.167,55,488989,0,1103,0,0.07724630576370894,35.24532530289236
77,-76.316,-62.167,60,537613,0,1244,0,0.08128062724599804,36.126625285854296
78,-76.316,-77.7087,1,14,0,0,0,0.0,2.0
79,-76.316,-77.7087,5,4105,0,0,0,0.0,19.163716814159294
80,-76.316,-77.7087,10,29783,0,0,0,0.0,26.282682512733448
81,-76.316,-77.7087,15,82216,0,2,0,0.0006978367062107466,29.686671318911376
82,-76.316,-77.7087,20,153509,0,76,0,0.014714424007744434,30.72100677637948
83,-76.316,-77.7087,25,224331,0,330,0,0.044468400485109826,31.22921439159143
