,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,0,0,0,0,0.0,1.0
1,-61.0528,-62.167,5,300,0,0,0,0.0,1.073295870999267
2,-61.0528,-62.167,10,2639,0,0,0,0.0,1.089703932832523
3,-61.0528,-62.167,15,7346,0,0,0,0.0,1.0928240184990965
4,-61.0528,-62.167,20,13372,0,0,0,0.0,1.0908417741727299
5,-61.0528,-62.167,25,18970,0,0,0,0.0,1.0882038406100338
6,-61.0528,-62.167,30,24115,0,1,0,3.5944071025484348e-06,1.0866791272779555
7,-61.0528,-62.167,35,28525,0,1,0,3.1802873071553286e-06,1.0907176954366058
8,-61.0528,-62.167,40,30886,0,1,0,2.925233945584798e-06,1.090348775643332
9,-61.0528,-62.167,45,33959,0,2,0,5.286655688045021e-06,1.0897647702551605
10,-61.0528,-62.167,50,37444,0,7,0,1.6646769813223244e-05,1.0890459498409044
11,-61.0528,-62.167,55,41180,0,8,0,1.7178404169198693e-05,1.0884258354609502
12,-61.0528,-62.167,60,44962,0,8,0,1.5636788672710287e-05,1.0878826615377999
13,-61.0528,-77.7087,1,0,0,0,0,0.0,1.0
14,-61.0528,-77.7087,5,299,0,0,0,0.0,1.0730337078651686
15,-61.0528,-77.7087,10,2644,0,0,0,0.0,1.0898891684232
16,-61.0528,-77.7087,15,7309,0,0,0,0.0,1.0923133272708903
17,-61.0528,-77.7087,20,13317,0,0,0,0.0,1.0904343456293801
18,-61.0528,-77.7087,25,18919,0,0,0,0.0,1.0879458537288318
19,-61.0528,-77.7087,30,24065,0,2,0,7.1875224610076905e-06,1.086483864012075
20,-61.0528,-77.7087,35,28446,0,5,0,1.5897442419463556e-05,1.090443729412812
21,-61.0528,-77.7087,40,30827,0,7,0,2.0473104190551954e-05,1.0901606261260208
22,-61.0528,-77.7087,45,33965,0,13,0,3.4363806981139555e-05,1.0897820541626466
23,-61.0528,-77.7087,50,37476,0,18,0,4.280923728208909e-05,1.0891288320213095
24,-61.0528,-77.7087,55,41221,0,21,0,4.50972812781858e-05,1.0885216681699095
25,-61.0528,-77.7087,60,44952,0,23,0,4.495488874642315e-05,1.0878613982143137
26,-61.0528,-93.2504,1,0,0,0,0,0.0,1.0
27,-61.0528,-93.2504,5,293,0,0,0,0.0,1.0714634146341464
28,-61.0528,-93.2504,10,2645,0,0,0,0.0,1.08992622309863
29,-61.0528,-93.2504,15,7335,0,0,0,0.0,1.0926721415034744
30,-61.0528,-93.2504,20,13353,0,0,0,0.0,1.0907009917130825
31,-61.0528,-93.2504,25,18971,0,3,0,1.3949011712520168e-05,1.0882089003994067
32,-61.0528,-93.2504,30,24119,0,10,0,3.594458782341143e-05,1.0866947513712861
33,-61.0528,-93.2504,35,28526,0,20,0,6.360594842829701e-05,1.0907211642432801
34,-61.0528,-93.2504,40,30922,0,36,0,0.00010531951307278456,1.0904636106454624
